username,password,role
admin,admin123,admin
vendor1,vendorpass,vendor
hospital1,hospass,hospital
vendor2,vendorpass2,vendor
hospital3,hospitalpass3,hospital
admin4,adminpass4,admin
hospital5,hospitalpass5,hospital
vendor6,vendorpass6,vendor
vendor7,vendorpass7,vendor
hospital8,hospitalpass8,hospital
admin9,adminpass9,admin
hospital10,hospitalpass10,hospital
admin11,adminpass11,admin
vendor12,vendorpass12,vendor
vendor13,vendorpass13,vendor
hospital14,hospitalpass14,hospital
vendor15,vendorpass15,vendor
hospital16,hospitalpass16,hospital
admin17,adminpass17,admin
hospital18,hospitalpass18,hospital
vendor19,vendorpass19,vendor
vendor20,vendorpass20,vendor
admin21,adminpass21,admin
hospital22,hospitalpass22,hospital
vendor23,vendorpass23,vendor
admin24,adminpass24,admin
admin25,adminpass25,admin
vendor26,vendorpass26,vendor
admin27,adminpass27,admin
admin28,adminpass28,admin
vendor29,vendorpass29,vendor
admin30,adminpass30,admin
